日期,单位净值,累积净值,日涨跌幅
2023-05-04,1.0,1.0,0.0
2023-05-05,0.9998,0.9998,-0.02
2023-05-12,0.9937,0.9937,0.0
2023-05-19,1.0414,1.0414,0.0
2023-05-22,1.0546,1.0546,1.27
2023-05-23,1.0442,1.0442,-0.99
2023-05-24,1.046,1.046,0.17
2023-05-25,1.0424,1.0424,-0.34
2023-05-26,1.0577,1.0577,1.47
2023-05-29,1.0505,1.0505,-0.68
2023-05-30,1.0465,1.0465,-0.38
2023-05-31,1.0529,1.0529,0.61
2023-06-01,1.0533,1.0533,0.04
2023-06-02,1.0541,1.0541,0.08
2023-06-05,1.0532,1.0532,-0.09
2023-06-06,1.0291,1.0291,-2.29
2023-06-07,1.0275,1.0275,-0.16
2023-06-08,1.0202,1.0202,-0.71
2023-06-09,1.0229,1.0229,0.26
2023-06-12,1.0403,1.0403,1.7
2023-06-13,1.0401,1.0401,-0.02
2023-06-14,1.0566,1.0566,1.59
2023-06-15,1.1375,1.1375,7.66
2023-06-16,1.1646,1.1646,2.38
2023-06-19,1.184,1.184,1.67
2023-06-20,1.2299,1.2299,3.88
2023-06-21,1.2213,1.2213,-0.7
2023-06-26,1.2015,1.2015,-1.62
2023-06-27,1.2022,1.2022,0.06
2023-06-28,1.2132,1.2132,0.91
2023-06-29,1.2419,1.2419,2.37
2023-06-30,1.2547,1.2547,1.03
2023-07-03,1.2035,1.2035,-4.08
2023-07-04,1.2182,1.2182,1.22
2023-07-05,1.1984,1.1984,-1.63
2023-07-06,1.2033,1.2033,0.41
2023-07-07,1.1797,1.1797,-1.96
2023-07-10,1.1499,1.1499,-2.53
2023-07-11,1.167,1.167,1.49
2023-07-12,1.1391,1.1391,-2.39
2023-07-13,1.1502,1.1502,0.97
2023-07-14,1.1555,1.1555,0.46
2023-07-17,1.1485,1.1485,-0.61
2023-07-18,1.1492,1.1492,0.06
2023-07-19,1.144,1.144,-0.45
2023-07-20,1.1187,1.1187,-2.21
2023-07-21,1.0958,1.0958,-2.05
2023-07-24,1.0879,1.0879,-0.72
2023-07-25,1.1073,1.1073,1.78
2023-07-26,1.0786,1.0786,-2.59
2023-07-27,1.0694,1.0694,-0.85
2023-07-28,1.0732,1.0732,0.36
2023-07-31,1.0881,1.0881,1.39
2023-08-01,1.0808,1.0808,-0.67
2023-08-02,1.1003,1.1003,1.8
2023-08-03,1.0919,1.0919,-0.76
2023-08-04,1.1198,1.1198,2.56
2023-08-07,1.1182,1.1182,-0.14
2023-08-08,1.1026,1.1026,-1.4
2023-08-09,1.0858,1.0858,-1.52
2023-08-10,1.0852,1.0852,-0.06
2023-08-11,1.069,1.069,-1.49
2023-08-14,1.0745,1.0745,0.51
2023-08-15,1.0656,1.0656,-0.83
2023-08-16,1.039,1.039,-2.5
2023-08-17,1.0921,1.0921,5.11
2023-08-18,1.0571,1.0571,-3.2
2023-08-21,1.0363,1.0363,-1.97
2023-08-22,1.0544,1.0544,1.75
2023-08-23,1.0453,1.0453,-0.86
2023-08-24,1.0439,1.0439,-0.13
2023-08-25,1.0103,1.0103,-3.22
2023-08-28,1.0061,1.0061,-0.42
2023-08-29,1.0894,1.0894,8.28
2023-08-30,1.1185,1.1185,2.67
2023-08-31,1.1182,1.1182,-0.03
2023-09-01,1.135,1.135,1.5
2023-09-04,1.1238,1.1238,-0.99
2023-09-05,1.1167,1.1167,-0.63
2023-09-06,1.112,1.112,-0.42
2023-09-07,1.0945,1.0945,-1.57
2023-09-08,1.1078,1.1078,1.22
2023-09-11,1.1111,1.1111,0.3
2023-09-12,1.1149,1.1149,0.34
2023-09-13,1.0869,1.0869,-2.51
2023-09-14,1.0713,1.0713,-1.44
2023-09-15,1.068,1.068,-0.31
2023-09-18,1.0828,1.0828,1.39
2023-09-19,1.0673,1.0673,-1.43
2023-09-20,1.0603,1.0603,-0.66
2023-09-21,1.052,1.052,-0.78
2023-09-22,1.083,1.083,2.95
2023-09-25,1.1019,1.1019,1.75
2023-09-26,1.1124,1.1124,0.95
2023-09-27,1.1132,1.1132,0.07
2023-09-28,1.1056,1.1056,-0.68
2023-10-09,1.1085,1.1085,0.26
2023-10-10,1.0866,1.0866,-1.98
2023-10-11,1.0964,1.0964,0.9
2023-10-12,1.0833,1.0833,-1.19
2023-10-13,1.0608,1.0608,-2.08
2023-10-16,1.06,1.06,-0.08
2023-10-17,1.0474,1.0474,-1.19
2023-10-18,1.0359,1.0359,-1.1
2023-10-19,1.0241,1.0241,-1.14
2023-10-20,1.0043,1.0043,-1.93
2023-10-23,0.983,0.983,-2.12
2023-10-24,0.9844,0.9844,0.14
2023-10-25,0.9975,0.9975,1.33
2023-10-26,1.0022,1.0022,0.47
2023-10-27,1.0109,1.0109,0.87
2023-10-30,1.0434,1.0434,3.21
2023-10-31,1.0267,1.0267,-1.6
2023-11-01,1.0216,1.0216,-0.5
2023-11-02,1.0027,1.0027,-1.85
2023-11-03,1.0489,1.0489,4.61
2023-11-06,1.0896,1.0896,3.88
2023-11-07,1.0936,1.0936,0.37
